track 1;
17 -0.103306;
17 -0.103306;
17 -0.101724;
16 -0.101724;
17 -0.100158;
17 -0.100158;
16 -0.098617;
17 -0.098617;
16 -0.097193;
18 -0.097193;
16 -0.095725;
17 -0.095725;
16 -0.095725;
17 -0.095725;
17 -0.094078;
15 -0.094078;
18 -0.092369;
16 -0.092369;
16 -0.090661;
16 -0.090661;
16 -0.088962;
17 -0.088962;
17 -0.0869;
16 -0.0869;
18 -0.084345;
16 -0.084345;
17 -0.081651;
17 -0.081651;
16 -0.078667;
16 -0.078667;
17 -0.075602;
18 -0.075602;
16 -0.072601;
17 -0.072601;
16 -0.07032;
16 -0.07032;
16 -0.068477;
17 -0.068477;
17 -0.067644;
16 -0.067644;
18 -0.067971;
16 -0.067971;
17 -0.069327;
16 -0.069327;
18 -0.072171;
17 -0.072171;
17 -0.076744;
16 -0.076744;
16 -0.082456;
15 -0.082456;
19 -0.088848;
16 -0.088848;
17 -0.096536;
16 -0.096536;
18 -0.103994;
15 -0.103994;
17 -0.112562;
16 -0.112562;
24 -0.119024;
16 -0.119024;
16 -0.12702;
16 -0.12702;
15 -0.133748;
16 -0.133748;
16 -0.140618;
17 -0.140618;
16 -0.14597;
17 -0.14597;
17 -0.15006;
16 -0.15006;
17 -0.153537;
16 -0.153537;
17 -0.155645;
17 -0.155645;
17 -0.157063;
17 -0.157063;
17 -0.158279;
17 -0.158279;
16 -0.159293;
18 -0.159293;
16 -0.161153;
17 -0.161153;
17 -0.163078;
16 -0.163078;
17 -0.165984;
17 -0.165984;
19 -0.168977;
16 -0.168977;
15 -0.172741;
17 -0.172741;
17 -0.176686;
16 -0.176686;
16 -0.187076;
18 -0.187076;
16 -0.196826;
17 -0.196826;
17 -0.203474;
17 -0.203474;
17 -0.209405;
17 -0.209405;
17 -0.216542;
17 -0.216542;
16 -0.224577;
16 -0.224577;
17 -0.23353;
16 -0.23353;
17 -0.242116;
16 -0.242116;
17 -0.249238;
17 -0.249238;
17 -0.255438;
18 -0.255438;
14 -0.260829;
17 -0.260829;
16 -0.266223;
18 -0.266223;
15 -0.270476;
18 -0.270476;
16 -0.273857;
18 -0.273857;
16 -0.2767;
17 -0.2767;
16 -0.278917;
16 -0.278917;
17 -0.280956;
17 -0.280956;
16 -0.28269;
18 -0.28269;
16 -0.284329;
17 -0.284329;
16 -0.28605;
17 -0.28605;
17 -0.287884;
16 -0.287884;
16 -0.289659;
17 -0.289659;
17 -0.291547;
16 -0.291547;
16 -0.293548;
16 -0.293548;
18 -0.29573;
16 -0.29573;
17 -0.297652;
17 -0.297652;
17 -0.298808;
17 -0.298808;
17 -0.299131;
17 -0.299131;
15 -0.298781;
17 -0.298781;
17 -0.29762;
15 -0.29762;
18 -0.295917;
16 -0.295917;
17 -0.294263;
16 -0.294263;
17 -0.292489;
17 -0.292489;
17 -0.290495;
15 -0.290495;
16 -0.287659;
18 -0.287659;
17 -0.285132;
17 -0.285132;
17 -0.281887;
16 -0.281887;
16 -0.278003;
17 -0.278003;
16 -0.273906;
17 -0.273906;
16 -0.270604;
17 -0.270604;
17 -0.267581;
16 -0.267581;
17 -0.264696;
16 -0.264696;
16 -0.262692;
19 -0.262692;
15 -0.260928;
17 -0.260928;
16 -0.259708;
17 -0.259708;
16 -0.258985;
17 -0.258985;
17 -0.258687;
15 -0.258687;
18 -0.25876;
17 -0.25876;
17 -0.259531;
16 -0.259531;
17 -0.260082;
18 -0.260082;
17 -0.260083;
16 -0.260083;
17 -0.259563;
17 -0.259563;
16 -0.258111;
18 -0.258111;
16 -0.256934;
17 -0.256934;
16 -0.255321;
17 -0.255321;
16 -0.253488;
18 -0.253488;
16 -0.248617;
16 -0.248617;
18 -0.243318;
16 -0.243318;
15 -0.234679;
17 -0.234679;
16 -0.226893;
17 -0.226893;
17 -0.213544;
17 -0.213544;
24 -0.202973;
17 -0.188582;
15 -0.188582;
15 -0.188582;
15 -0.176039;
15 -0.176039;
16 -0.163548;
16 -0.163548;
17 -0.150732;
16 -0.150732;
18 -0.138066;
16 -0.138066;
17 -0.128215;
17 -0.128215;
17 -0.119228;
16 -0.119228;
16 -0.109937;
17 -0.109937;
17 -0.099446;
17 -0.099446;
17 -0.09007;
16 -0.09007;
17 -0.082952;
16 -0.082952;
17 -0.074687;
17 -0.074687;
17 -0.070168;
18 -0.070168;
16 -0.06648;
17 -0.06648;
14 -0.063043;
19 -0.063043;
17 -0.060423;
16 -0.060423;
17 -0.05871;
17 -0.05871;
16 -0.057515;
17 -0.057515;
17 -0.057339;
16 -0.057339;
18 -0.057494;
16 -0.057494;
17 -0.058275;
17 -0.058275;
16 -0.061559;
17 -0.061559;
16 -0.065628;
18 -0.065628;
16 -0.068453;
18 -0.068453;
23 -0.072226;
16 -0.072226;
16 -0.077364;
