track 1;
19 0.100786;
16 0.100786;
17 0.100786;
18 0.083237;
15 0.083237;
17 0.083237;
16 0.083237;
18 0.072399;
17 0.072399;
17 0.072399;
16 0.072399;
16 0.072399;
16 0.065435;
18 0.065435;
15 0.065435;
17 0.062334;
18 0.062334;
17 0.062334;
15 0.062334;
18 0.062975;
16 0.062975;
17 0.062975;
16 0.062975;
17 0.066905;
15 0.066905;
17 0.066905;
17 0.066905;
17 0.074386;
16 0.074386;
16 0.074386;
17 0.074386;
16 0.083365;
17 0.083365;
16 0.083365;
18 0.083365;
16 0.09353;
15 0.09353;
17 0.09353;
17 0.09353;
19 0.104304;
15 0.104304;
16 0.104304;
17 0.104304;
16 0.115342;
17 0.115342;
17 0.115342;
17 0.115342;
16 0.128318;
16 0.128318;
16 0.128318;
17 0.128318;
17 0.128318;
18 0.143555;
16 0.143555;
16 0.143555;
16 0.158178;
17 0.158178;
16 0.158178;
19 0.158178;
15 0.173323;
17 0.173323;
17 0.173323;
15 0.173323;
18 0.186472;
18 0.186472;
16 0.186472;
16 0.186472;
17 0.196295;
16 0.196295;
18 0.196295;
17 0.196295;
16 0.205645;
17 0.205645;
15 0.205645;
17 0.205645;
16 0.213054;
18 0.213054;
16 0.213054;
17 0.213054;
16 0.219668;
18 0.219668;
17 0.219668;
15 0.219668;
17 0.224933;
18 0.224933;
17 0.224933;
16 0.224933;
17 0.22925;
17 0.22925;
15 0.22925;
19 0.22925;
16 0.23261;
15 0.23261;
18 0.23261;
17 0.23261;
16 0.234852;
15 0.234852;
20 0.234852;
15 0.234852;
18 0.235851;
15 0.235851;
18 0.235851;
16 0.235851;
17 0.234863;
17 0.234863;
16 0.234863;
17 0.234863;
18 0.230066;
15 0.230066;
18 0.230066;
17 0.230066;
16 0.230066;
15 0.218877;
18 0.218877;
15 0.218877;
18 0.201522;
17 0.201522;
14 0.201522;
17 0.201522;
17 0.177127;
16 0.177127;
16 0.177127;
17 0.177127;
17 0.144364;
17 0.144364;
16 0.144364;
17 0.144364;
17 0.110215;
15 0.110215;
18 0.110215;
18 0.110215;
15 0.075065;
17 0.075065;
17 0.075065;
17 0.075065;
16 0.075065;
16 0.048346;
18 0.048346;
16 0.048346;
16 0.030542;
18 0.030542;
16 0.030542;
16 0.030542;
18 0.018344;
17 0.018344;
17 0.018344;
16 0.018344;
18 0.010133;
15 0.010133;
17 0.010133;
17 0.010133;
17 0.00449;
17 0.00449;
16 0.00449;
17 0.00449;
16 -0.0067;
17 -0.0067;
16 -0.0067;
18 -0.0067;
15 -0.011871;
17 -0.011871;
18 -0.011871;
16 -0.011871;
18 -0.013392;
16 -0.013392;
17 -0.013392;
16 -0.013392;
17 -0.008087;
16 -0.008087;
17 -0.008087;
18 -0.008087;
15 0.002771;
17 0.002771;
17 0.002771;
17 0.002771;
17 0.014618;
17 0.014618;
16 0.014618;
17 0.014618;
16 0.024374;
15 0.024374;
17 0.024374;
17 0.024374;
18 0.032038;
16 0.032038;
16 0.032038;
17 0.032038;
17 0.038541;
16 0.038541;
17 0.038541;
17 0.038541;
18 0.038541;
15 0.045678;
17 0.045678;
15 0.045678;
17 0.045678;
17 0.055192;
17 0.055192;
17 0.055192;
16 0.0692;
17 0.0692;
16 0.0692;
16 0.0692;
18 0.085968;
16 0.085968;
17 0.085968;
16 0.085968;
18 0.102939;
15 0.102939;
17 0.102939;
17 0.102939;
16 0.117247;
15 0.117247;
18 0.117247;
16 0.117247;
17 0.128552;
17 0.128552;
15 0.128552;
18 0.128552;
18 0.140172;
16 0.140172;
17 0.140172;
16 0.140172;
18 0.152857;
16 0.152857;
16 0.152857;
17 0.152857;
18 0.165886;
16 0.165886;
17 0.165886;
17 0.165886;
15 0.165886;
18 0.178933;
16 0.178933;
16 0.178933;
18 0.191174;
14 0.191174;
17 0.191174;
19 0.191174;
16 0.202429;
17 0.202429;
16 0.202429;
17 0.202429;
16 0.211927;
17 0.211927;
17 0.211927;
15 0.211927;
17 0.221535;
16 0.221535;
17 0.221535;
19 0.221535;
17 0.229911;
15 0.229911;
17 0.229911;
17 0.229911;
15 0.236036;
20 0.236036;
14 0.236036;
17 0.236036;
17 0.240095;
17 0.240095;
17 0.240095;
17 0.240095;
15 0.242667;
18 0.242667;
17 0.242667;
17 0.242667;
17 0.243066;
15 0.243066;
18 0.243066;
16 0.243066;
17 0.237086;
16 0.237086;
18 0.237086;
17 0.237086;
18 0.237086;
30 0.218839;
0 0.218839;
18 0.218839;
16 0.192097;
15 0.192097;
19 0.192097;
15 0.192097;
17 0.163099;
15 0.163099;
17 0.163099;
18 0.163099;
17 0.163099;
15 0.129767;
15 0.129767;
18 0.129767;
17 0.099756;
17 0.099756;
16 0.099756;
18 0.099756;
15 0.073336;
18 0.073336;
15 0.073336;
16 0.073336;
16 0.050129;
